Donor ID,Donor First Name,Donor Last Name,Gender,Phone,Email,State,Has Children,Married,Volunteered before,Engaged with Organization,Own Property,Past served on Board,Employer,Job Area,Salary Estimation,Retired?,Education,Education Area,Active outside Organization,Political Contribution,Donor Age,Joint Mailing Name,Military Affiliate/Veteran,Total Lifetime Donations,2019 Donations,2019 Donations Gave in the Area,2018 Donations,2018 Donations Gave in the Area,2017 Donations,2016 Donations,2015 Donations,2014 Donations,2013 Donations,2012 Donations,2011 Donations,2010 Donations
114-63-0313,Hazel,Wild,Female,3-451-464-4587,Hazel_Wild8742@twipet.com,Alabama,FALSE,FALSE,TRUE,FALSE,Unknown,Unknown,Demaco,Sales,Unknown,Unknown,Middle school,Language Arts,Unknown,Unknown,44,Unknown,Unknown,"$7,852","$1,649",Public & Societal Benefit,$0,Ballet,$0,"$2,706",$0,"$2,544",$0,$0,$953,$0
114-67-0267,Harvey,Hill,Male,3-847-130-3167,Harvey_Hill8262@iatim.tech,Washington,TRUE,FALSE,TRUE,FALSE,Unknown,Unknown,Mars,Marketing,"$42,839",Unknown,Graduate school,Handwriting,Unknown,Unknown,19,Unknown,Unknown,"$16,417","$1,747",Alliances & Advocacy,$0,Automotive Safety,$0,"$3,198",$0,"$5,782",$0,$0,"$5,690",$0
114-67-8040,Boris,Buckley,Male,8-653-533-1112,Boris_Buckley1028@eirey.tech,Iowa,TRUE,FALSE,TRUE,FALSE,Unknown,Unknown,ENEL,Human Resources,"$89,180",Unknown,Corporate university,Modern Literature,Unknown,Unknown,75,Unknown,Unknown,"$14,887",$719,Management & Technical Assistance,$0,Autism Research,$0,"$4,887",$0,"$7,762",$0,$0,"$1,519",$0
114-73-6628,Danny,Tobin,Male,6-662-503-3764,Danny_Tobin6679@joiniaa.com,Georgia,FALSE,TRUE,FALSE,FALSE,Unknown,Unknown,Erickson,IT,"$59,888",Unknown,Junior college,Latin,Unknown,Unknown,25,Unknown,Unknown,"$13,346","$1,305",Professional Societies & Associations,$17,Autism,$0,"$3,373",$0,"$7,273",$0,$0,$774,$604
114-81-7583,Paula,Fox,Female,6-345-266-5547,Paula_Fox2348@twipet.com,North Dakota,TRUE,TRUE,FALSE,TRUE,Unknown,Unknown,Amazon.com,Finance,"$85,851",Unknown,Junior college,Music,Unknown,Unknown,79,Unknown,Unknown,"$23,703","$5,682",Research Institutes & Public Policy Analysis,"$1,311",Astronomy,$0,"$3,757",$0,"$2,050",$0,$0,"$3,327","$7,576"
114-81-7832,Barry,Edley,Male,2-265-126-5547,Barry_Edley209@nickia.com,Montana,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Boeing,Accounting,"$138,827",TRUE,High school,Grammar,TRUE,TRUE,36,TRUE,TRUE,"$32,492","$1,826",Single Organization Support,"$1,408",Asthma Research,"$7,856","$2,012","$1,703","$3,521",$603,"$4,850","$5,686","$3,027"
114-86-0568,Bryon,Walsh,Male,4-621-387-8635,Bryon_Walsh8750@muall.tech,Alaska,TRUE,TRUE,Unknown,FALSE,Unknown,Unknown,Areon Impex,Operations,Unknown,Unknown,Junior college,Ecology,Unknown,Unknown,36,Unknown,Unknown,"$11,665","$2,391",Fund Raising & Fund Distribution,$0,Asthma,$0,"$2,666",$0,"$6,608",$0,$0,$0,$0
115-06-8550,Roger,Snell,Unknown,1-160-116-7744,Roger_Snell3022@bulaffy.com,West Virginia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Language Arts,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Support N.E.C.,$0,"Arts, Culture & Humanities N.E.C.",$0,$0,$0,$0,$0,$0,$0,$0
115-10-2616,Adeline,Hunter,Female,1-631-733-4088,Adeline_Hunter1664@bulaffy.com,South Carolina,FALSE,FALSE,FALSE,FALSE,TRUE,Unknown,Boeing,Sales,"$41,847",Unknown,University college,Accounting,FALSE,TRUE,71,Unknown,TRUE,"$43,571","$2,297",Government & Public Administration,"$2,335","Arts, Culture & Humanities","$1,174","$3,838","$5,043","$8,745","$3,934","$7,133","$6,462","$2,610"
115-12-6881,Rachael,Bradshaw,Female,5-226-345-5048,Rachael_Bradshaw5267@yahoo.com,Vermont,FALSE,TRUE,FALSE,FALSE,TRUE,Unknown,AECOM,Purchasing,"$117,587",Unknown,High school,Trigonometry,FALSE,TRUE,51,Unknown,FALSE,"$35,368","$2,802","Public Finance, Taxation & Monetary Policy","$1,077",Arts Services,"$4,823","$1,855",$334,$659,"$4,927","$7,415","$3,461","$8,015"
115-24-6340,Cassidy,Weasley,Female,8-207-043-8518,Cassidy_Weasley8656@infotech44.tech,California,TRUE,FALSE,FALSE,TRUE,TRUE,Unknown,Global Print,Purchasing,"$79,723",Unknown,University college,Ancient Civilizations,Unknown,Unknown,50,Unknown,Unknown,"$25,265","$3,217",Citizen Participation,$271,Arts Education,$0,$72,"$10,961","$3,617",$0,$0,"$4,218","$2,909"
115-40-3224,Jacob,Collins,Male,1-168-805-3204,Jacob_Collins5278@jiman.org,Rhode Island,TRUE,FALSE,FALSE,TRUE,Unknown,Unknown,Coca-Cola Company,IT,"$95,624",Unknown,Gymnasium,Basic Math,Unknown,Unknown,74,Unknown,Unknown,"$16,983","$6,814",Military & Veterans Organizations,"$1,776",Arts & Humanities Councils & Agencies,$0,$509,$0,"$1,594",$0,$0,"$6,290",$0
115-42-5658,Carter,Griffiths,Male,4-204-341-6363,Carter_Griffiths55@grannar.com,Oregon,TRUE,FALSE,TRUE,TRUE,Unknown,Unknown,CarMax,Research and Development,"$87,506",Unknown,University-preparatory school,Ancient Civilizations,Unknown,Unknown,53,Unknown,Unknown,"$16,556","$3,826",Public Transportation Systems,$0,Arts & Culture,$0,"$4,169",$0,"$7,618",$0,$0,$943,$0
115-44-7158,Carl,Weasley,Male,4-266-468-6823,Carl_Weasley3396@twipet.com,Missouri,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,21st Century Fox,Purchasing,"$109,758",Unknown,Gymnasium,German,FALSE,TRUE,28,FALSE,TRUE,"$29,751",$153,Telecommunications,$813,Arthritis Research,"$5,987","$4,797",$222,"$1,396",$518,"$5,851",$892,"$9,122"
115-53-7564,Josephine,Russel,Unknown,Unknown,Josephine_Russel1788@twace.org,Iowa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Trigonometry,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Financial Institutions,$0,Arthritis,$0,$0,$0,$0,$0,$0,$0,$0
115-56-7165,Enoch,Simmons,Male,0-016-564-7513,Enoch_Simmons7046@fuliss.net,South Carolina,FALSE,FALSE,Unknown,Unknown,Unknown,Unknown,Unknown,Human Resources,Unknown,Unknown,Junior college,English IV,Unknown,Unknown,Unknown,Unknown,Unknown,"$7,847",$0,Credit Unions,$0,Art Museums,$0,$472,$0,"$7,375",$0,$0,$0,$0
115-57-3606,Kate,Poole,Female,6-566-172-5740,Kate_Poole221@qater.org,North Dakota,FALSE,FALSE,TRUE,TRUE,Unknown,Unknown,Team Guard SRL,IT,"$84,981",Unknown,High school,Mathematics,Unknown,Unknown,53,Unknown,Unknown,"$21,623","$4,966",Leadership Development,$408,Arms Control & Peace,$0,"$2,075",$0,"$8,822",$0,$0,"$5,352",$0
115-68-1048,Oliver,Tailor,Male,0-860-607-5754,Oliver_Tailor3532@dionrab.com,New Hampshire,TRUE,FALSE,TRUE,TRUE,TRUE,Unknown,Boeing,Human Resources,"$54,333",Unknown,University-preparatory school,Art,TRUE,FALSE,78,Unknown,Unknown,"$37,895","$3,298",Public Utilities,"$1,459",Anthropology & Sociology,"$5,229","$2,692","$7,768","$8,222",$0,$0,"$1,420","$7,807"
115-74-4775,Sabina,Umney,Female,4-334-561-7764,Sabina_Umney3950@elnee.tech,South Carolina,FALSE,TRUE,FALSE,TRUE,FALSE,Unknown,Demaco,Purchasing,"$37,927",Unknown,Gymnasium,Leadership,TRUE,FALSE,43,Unknown,Unknown,"$30,533","$3,868",Consumer Protection,"$2,385",Animal-Related N.E.C.,$326,$896,"$10,317","$3,836",$0,$0,$435,"$8,470"
115-78-4440,Bethany,Sanchez,Female,2-728-612-3512,Bethany_Sanchez6867@fuliss.net,Kansas,TRUE,FALSE,FALSE,FALSE,Unknown,Unknown,Amazon.com,Management,Unknown,Unknown,Corporate university,Accounting,Unknown,Unknown,62,Unknown,Unknown,"$10,854","$2,588",Public & Societal Benefit N.E.C.,$0,Animal-Related,$0,$883,$0,"$1,204",$0,$0,"$6,179",$0
115-81-7331,Dasha,Myatt,Female,6-130-628-7803,Dasha_Myatt6445@gmail.com,Pennsylvania,FALSE,TRUE,FALSE,TRUE,Unknown,Unknown,Danone,Sales,"$69,384",Unknown,Graduate school,Physical Education,Unknown,Unknown,48,Unknown,Unknown,"$14,981","$3,269",Religion-Related,$856,Animal Training,$0,"$4,445",$0,"$3,257",$0,$0,"$3,154",$0
115-82-5180,Sharon,Jenkins,Female,8-628-702-1458,Sharon_Jenkins3475@extex.org,Alabama,TRUE,TRUE,TRUE,FALSE,Unknown,Unknown,Carrefour,Purchasing,"$138,775",Unknown,Corporate university,Music,Unknown,Unknown,73,Unknown,Unknown,"$24,006","$6,625",Alliances & Advocacy,"$1,942",Animal Services N.E.C.,$0,"$2,263",$0,"$6,432",$0,$0,"$6,744",$0
115-83-2484,Daniel,Briggs,Male,3-366-660-1864,Daniel_Briggs3318@iatim.tech,South Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Finance,Unknown,Unknown,Unknown,Spanish,Unknown,Unknown,Unknown,Unknown,Unknown,"$6,822",$0,Management & Technical Assistance,$0,Animal Protection & Welfare,$0,$0,$0,"$6,822",$0,$0,$0,$0
115-84-7214,Caleb,Murray,Male,7-375-852-6101,Caleb_Murray3740@liret.org,Alaska,FALSE,TRUE,FALSE,TRUE,FALSE,Unknown,Demaco,IT,"$55,682",Unknown,University college,Basic Math,FALSE,FALSE,43,Unknown,Unknown,"$30,690","$2,573",Professional Societies & Associations,$128,Animal Husbandry,"$5,618","$1,089",$228,"$7,278",$0,$0,"$4,034","$9,742"
116-00-7541,Teagan,Jefferson,Female,5-387-753-2065,Teagan_Jefferson3787@womeona.net,Hawaii,TRUE,FALSE,TRUE,FALSE,TRUE,Unknown,DynCorp,Marketing,"$134,654",Unknown,High school,Art,FALSE,TRUE,84,Unknown,FALSE,"$36,181","$3,810",Research Institutes & Public Policy Analysis,$908,American Red Cross,"$2,234","$3,962",$251,"$8,082",$943,"$5,411",$911,"$9,669"
116-24-3712,Anne,Drew,Female,3-826-425-3646,Anne_Drew5474@womeona.net,Massachussets,FALSE,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Finance,Unknown,Unknown,University college,Sociology,Unknown,Unknown,Unknown,Unknown,Unknown,"$5,073",$0,Single Organization Support,$0,Ambulatory & Primary Health Care,$0,"$1,496",$0,"$3,577",$0,$0,$0,$0
116-41-1431,Lucas,Isaac,Male,7-452-207-8785,Lucas_Isaac5886@cispeto.com,Minnesota,FALSE,FALSE,TRUE,FALSE,Unknown,Unknown,Global Print,Marketing,Unknown,Unknown,Middle school,Music,Unknown,Unknown,77,Unknown,Unknown,"$7,534",$850,Fund Raising & Fund Distribution,$0,Amateur Sports Competitions,$0,$941,$0,"$1,724",$0,$0,"$4,019",$0
116-50-4751,Rick,Pratt,Male,1-748-125-7586,Rick_Pratt3415@liret.org,Michigan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Research and Development,Unknown,Unknown,High school,Latin,Unknown,Unknown,Unknown,Unknown,Unknown,"$5,682",$0,Support N.E.C.,$0,Amateur Sports,$0,$0,$0,"$5,682",$0,$0,$0,$0
116-55-8564,Denny,Herbert,Male,3-666-478-4285,Denny_Herbert1313@acrit.org,Arizona,TRUE,TRUE,Unknown,FALSE,Unknown,Unknown,21st Century Fox,Operations,Unknown,Unknown,University college,Trigonometry,Unknown,Unknown,20,Unknown,Unknown,"$4,776","$1,631",Christianity,$0,Alzheimers Disease Research,$0,$263,$0,"$2,882",$0,$0,$0,$0
116-56-1873,Greta,Reese,Female,0-801-807-6462,Greta_Reese8174@mafthy.com,Maryland,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Human Resources,Unknown,Unknown,Public university,Economics,Unknown,Unknown,Unknown,Unknown,Unknown,"$6,683",$0,Protestant,$0,Alzheimers Disease,$0,"$2,696",$0,"$3,987",$0,$0,$0,$0
116-63-8235,Harry,Kelly,Male,0-121-256-5281,Harry_Kelly6017@irrepsy.com,Delaware,FALSE,TRUE,FALSE,FALSE,Unknown,Unknown,BuzzFeed,Marketing,"$149,576",Unknown,University-preparatory school,Sociology,Unknown,Unknown,46,Unknown,Unknown,"$27,361","$3,597",Roman Catholic,"$1,782",Alumni Associations,$0,"$2,212",$0,"$9,836",$0,$0,"$4,717","$5,217"
116-73-3834,Caleb,Powell,Male,2-615-060-4618,Caleb_Powell2025@gompie.com,Wyoming,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Purchasing,Unknown,Unknown,Unknown,Music,Unknown,Unknown,Unknown,Unknown,Unknown,"$8,348",$0,Judaism,$0,Alliances & Advocacy,$0,$0,$0,"$8,348",$0,$0,$0,$0
116-77-8817,Percy,Boden,Male,5-061-450-6402,Percy_Boden4353@typill.biz,Maryland,FALSE,TRUE,Unknown,FALSE,Unknown,Unknown,Coca-Cola Company,Purchasing,Unknown,Unknown,University college,English IV,Unknown,Unknown,78,Unknown,Unknown,"$16,566","$6,798",Islam,$0,Alliances & Advocacy,$0,$703,$0,"$4,726",$0,$0,"$4,339",$0
117-00-5830,Brad,Hopkins,Male,4-565-043-5510,Brad_Hopkins1678@nimogy.biz,Ohio,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Leadertech Consulting,Purchasing,"$109,723",FALSE,Junior college,History,TRUE,FALSE,53,FALSE,TRUE,"$51,220","$7,241",Buddhism,$350,Alliances & Advocacy,"$6,190","$3,769","$10,160","$8,172","$1,688","$7,268","$3,349","$3,033"
117-03-3301,Gil,King,Male,7-388-018-7748,Gil_King3593@twace.org,New Mexico,TRUE,TRUE,TRUE,FALSE,Unknown,Unknown,It Smart Group,Accounting,"$92,137",Unknown,Middle school,Spanish,Unknown,Unknown,63,Unknown,Unknown,"$15,325","$4,413",Hinduism,$917,Alliances & Advocacy,$0,"$3,646",$0,"$3,287",$0,$0,"$2,918",$144
117-05-3563,Jacob,Flynn,Male,3-517-763-1001,Jacob_Flynn3234@zorer.org,Alaska,FALSE,TRUE,Unknown,FALSE,Unknown,Unknown,ENEL,Finance,Unknown,Unknown,Public university,Leadership,Unknown,Unknown,74,Unknown,Unknown,"$16,010","$6,134",Religious Media & Communications,$0,Alliances & Advocacy,$0,"$2,576",$0,"$7,300",$0,$0,$0,$0
117-22-0854,Candace,Ryan,Female,5-848-018-0855,Candace_Ryan68@liret.org,Texas,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Research and Development,Unknown,Unknown,Unknown,Art,Unknown,Unknown,Unknown,Unknown,Unknown,"$9,701",$0,Religious Film & Video,$0,Alliances & Advocacy,$0,$0,$0,"$9,701",$0,$0,$0,$0
117-24-8640,Hank,Thatcher,Male,0-167-814-4227,Hank_Thatcher4056@infotech44.tech,Iowa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Human Resources,Unknown,Unknown,Unknown,History,Unknown,Unknown,Unknown,Unknown,Unknown,"$3,442",$0,Religious Television,$0,Alliances & Advocacy,$0,$0,$0,"$3,442",$0,$0,$0,$0
117-42-2556,Dasha,Simpson,Female,0-384-062-5775,Dasha_Simpson8852@infotech44.tech,New Jersey,FALSE,FALSE,FALSE,FALSE,TRUE,Unknown,Comodo,Marketing,"$94,574",Unknown,Corporate university,Geography,TRUE,TRUE,24,Unknown,Unknown,"$32,526","$2,109",Religious Printing & Publishing,$784,Alliances & Advocacy,"$1,611","$1,610","$6,508","$8,198",$0,$0,"$6,303","$5,403"
117-42-8752,Sloane,Potts,Female,6-052-452-0745,Sloane_Potts4200@hourpy.biz,North Dakota,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Team Guard SRL,Management,"$107,073",Unknown,University-preparatory school,Geography,FALSE,TRUE,73,TRUE,FALSE,"$42,069","$4,858",Religious Radio,"$1,650",Alliances & Advocacy,"$2,120","$4,148","$6,656","$3,229","$5,407","$1,833","$6,306","$5,862"
117-47-1341,Savannah,Kennedy,Female,4-438-370-0345,Savannah_Kennedy3414@corti.com,New York,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,21st Century Fox,Purchasing,"$59,290",Unknown,High school,LOGIC,FALSE,TRUE,82,TRUE,TRUE,"$49,204","$1,636",Interfaith Coalitions,$608,Alliances & Advocacy,"$7,887","$1,503","$13,085","$9,550","$2,511","$3,822",$848,"$7,754"
117-50-1350,William,Harrison,Male,3-107-208-5166,William_Harrison9248@acrit.org,Nebraska,FALSE,FALSE,TRUE,TRUE,TRUE,Unknown,Vodafone,Research and Development,"$83,710",Unknown,Junior college,Basic Math,Unknown,Unknown,20,Unknown,Unknown,"$22,290","$3,627",Religion-Related N.E.C.,"$2,425",Alliances & Advocacy,$0,$157,$0,"$9,313",$0,$0,"$4,939","$1,829"
117-73-5547,Scarlett,Hunter,Female,8-675-080-7554,Scarlett_Hunter872@guentu.biz,Utah,FALSE,TRUE,TRUE,TRUE,TRUE,Unknown,Erickson,Sales,"$140,727",Unknown,Junior college,French,Unknown,Unknown,35,Unknown,Unknown,"$16,834","$5,724",Mutual & Membership Benefit,"$1,941",Alliances & Advocacy,$0,"$4,011",$0,"$1,546",$0,$0,"$3,606",$6
117-77-5457,George,Gray,Male,3-220-562-2052,George_Gray7052@fuliss.net,New Mexico,FALSE,TRUE,Unknown,FALSE,Unknown,Unknown,DynCorp,Operations,Unknown,Unknown,High school,Language Arts,Unknown,Unknown,84,Unknown,Unknown,"$16,510","$1,273",Alliances & Advocacy,$0,Alliances & Advocacy,$0,"$4,828",$0,"$5,668",$0,$0,"$4,741",$0
117-83-0587,Bryon,Yoman,Male,3-244-373-0203,Bryon_Yoman2597@typill.biz,Nebraska,FALSE,FALSE,FALSE,TRUE,TRUE,Unknown,Amazon.com,Sales,"$78,153",Unknown,University-preparatory school,Sociology,TRUE,FALSE,63,Unknown,Unknown,"$43,101","$1,053",Management & Technical Assistance,$580,Alliances & Advocacy,"$8,950",$555,"$12,483","$8,243",$0,$0,"$2,976","$8,261"
118-15-7573,Russel,Yarlett,Male,8-425-887-3872,Russel_Yarlett9723@nanoff.biz,New Mexico,FALSE,FALSE,FALSE,TRUE,TRUE,Unknown,UPC,Human Resources,"$87,382",Unknown,Middle school,History,TRUE,FALSE,43,Unknown,TRUE,"$47,623","$2,962",Professional Societies & Associations,$549,Alliances & Advocacy,"$6,770","$1,713","$8,703","$9,476","$5,605","$8,013","$2,024","$1,808"
118-17-0684,Melinda,Dillon,Female,8-758-122-4876,Melinda_Dillon3084@gompie.com,Maine,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Biolife Grup,Human Resources,"$44,659",TRUE,University-preparatory school,Instrumental Music,TRUE,TRUE,52,FALSE,TRUE,"$51,553","$6,946",Research Institutes & Public Policy Analysis,"$1,579",Alliances & Advocacy,"$7,265","$2,540","$14,318","$3,115","$4,406","$1,139","$6,457","$3,788"
118-28-1062,Rosemary,Wilson,Female,2-748-848-0872,Rosemary_Wilson5542@kideod.biz,West Virginia,TRUE,TRUE,TRUE,FALSE,FALSE,Unknown,Amazon.com,Management,"$42,838",Unknown,Graduate school,Geography,FALSE,FALSE,25,Unknown,TRUE,"$42,762","$2,324",Single Organization Support,"$2,000",Alliances & Advocacy,"$5,018","$1,462","$10,225","$7,535","$2,594","$2,523","$2,364","$6,717"
118-36-0750,Chad,Ellison,Male,4-406-630-1314,Chad_Ellison8390@vetan.org,North Carolina,TRUE,FALSE,FALSE,TRUE,Unknown,Unknown,Comcast,IT,"$92,267",Unknown,Middle school,Physical Education,Unknown,Unknown,69,Unknown,Unknown,"$24,280","$1,554",Fund Raising & Fund Distribution,"$1,568",Alliances & Advocacy,$0,"$1,111",$0,"$5,892",$0,$0,"$5,933","$8,222"
118-38-2331,Nicole,Henderson,Female,5-416-751-3700,Nicole_Henderson3046@twace.org,Maryland,TRUE,FALSE,FALSE,TRUE,Unknown,Unknown,BuzzFeed,IT,"$108,222",Unknown,Gymnasium,Mathematics,Unknown,Unknown,40,Unknown,Unknown,"$16,889","$2,230",Support N.E.C.,"$1,949",Alliances & Advocacy,$0,"$2,875",$0,"$3,056",$0,$0,"$3,746","$3,033"
118-44-8660,Caitlyn,Rosenbloom,Female,2-046-082-7280,Caitlyn_Rosenbloom8048@gmail.com,Nevada,FALSE,TRUE,FALSE,TRUE,FALSE,Unknown,Comodo,Sales,"$89,912",Unknown,Middle school,Art,TRUE,FALSE,47,Unknown,Unknown,"$24,284","$6,864",Insurance Providers,"$1,783",Alliances & Advocacy,$471,"$2,311","$2,048","$6,229",$0,$0,"$2,822","$1,756"
118-54-2668,Oliver,Lewis,Male,5-368-336-0621,Oliver_Lewis8810@yahoo.com,Minnesota,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Speech,Unknown,Unknown,Unknown,Unknown,Unknown,"$6,804",$0,Local Benevolent Life Insurance Associations,$0,Alliances & Advocacy,$0,$0,$0,"$6,804",$0,$0,$0,$0
118-61-6640,Callie,Yoman,Female,3-641-750-1585,Callie_Yoman7474@grannar.com,Missouri,TRUE,TRUE,Unknown,FALSE,Unknown,Unknown,Telekom,Human Resources,Unknown,Unknown,Middle school,English IV,Unknown,Unknown,38,Unknown,Unknown,"$16,889","$6,553",Mutual Insurance Companies & Associations,$0,Alliances & Advocacy,$0,"$4,087",$0,"$6,249",$0,$0,$0,$0
118-64-0124,Aleksandra,Lewin,Unknown,Unknown,Unknown,New Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Grammar,Unknown,Unknown,Unknown,Unknown,Unknown,$0,$0,Supplemental Unemployment Compensation,$0,Alliances & Advocacy,$0,$0,$0,$0,$0,$0,$0,$0
118-70-8084,Nick,Pope,Male,5-860-374-0756,Nick_Pope5931@bulaffy.com,New York,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Purchasing,Unknown,Unknown,High school,Spanish,Unknown,Unknown,Unknown,Unknown,Unknown,"$5,998",$0,State-Sponsored Workers Compensation Reinsurance Organizations,$0,Alliances & Advocacy,$0,"$1,684",$0,"$4,314",$0,$0,$0,$0
118-87-5273,Elisabeth,Watt,Female,6-730-475-0207,Elisabeth_Watt4719@jiman.org,Hawaii,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,IT,Unknown,Unknown,Unknown,Science,Unknown,Unknown,Unknown,Unknown,Unknown,"$4,917",$0,Pension & Retirement Funds,$0,Alliances & Advocacy,$0,$0,$0,"$4,917",$0,$0,$0,$0
118-87-5406,Joseph,Egerton,Male,2-617-617-0518,Joseph_Egerton7099@iatim.tech,South Carolina,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,History,Unknown,Unknown,Unknown,Unknown,Unknown,$274,$0,Teachers Retirement Fund Associations,$0,Allergy-Related Diseases Research,$0,$0,$0,$274,$0,$0,$0,$0
120-00-0505,Hank,Wood,Male,1-402-258-4321,Hank_Wood2568@ubusive.com,West Virginia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Research and Development,Unknown,Unknown,Public university,Basic Math,Unknown,Unknown,Unknown,Unknown,Unknown,"$4,724",$0,Employee Funded Pension Trusts,$0,Allergy-Related Diseases,$0,$0,$0,"$4,724",$0,$0,$0,$0
120-04-0451,Esmeralda,Chester,Female,2-512-673-2020,Esmeralda_Chester6201@ovock.tech,Maryland,TRUE,FALSE,TRUE,FALSE,Unknown,Unknown,Carrefour,Marketing,Unknown,Unknown,University college,English IV,Unknown,Unknown,71,Unknown,Unknown,"$20,594","$6,742",Multi-Employer Pension Plans,$0,All Other Specialty Food Stores,$0,"$2,942",$0,"$4,879",$0,$0,"$6,031",$0
120-10-3428,Julian,Campbell,Male,8-231-485-6556,Julian_Campbell2551@tonsy.org,Indiana,FALSE,FALSE,FALSE,FALSE,Unknown,Unknown,BuzzFeed,Research and Development,"$69,577",Unknown,High school,Music,Unknown,Unknown,60,Unknown,Unknown,"$19,672","$5,909",Fraternal Societies,$456,AIDS Research,$0,$464,$0,"$6,585",$0,$0,"$2,196","$4,062"
120-11-8510,Alexia,Hope,Female,8-678-001-1217,Alexia_Hope5075@fuliss.net,Alaska,TRUE,TRUE,Unknown,FALSE,Unknown,Unknown,Unknown,Operations,Unknown,Unknown,High school,Design and technology,Unknown,Unknown,58,Unknown,Unknown,"$7,889","$4,484",Fraternal Beneficiary Societies,$0,AIDS,$0,"$1,091",$0,"$2,314",$0,$0,$0,$0
120-16-5232,Gwenyth,Allwood,Female,1-733-883-5878,Gwenyth_Allwood962@womeona.net,Arkansas,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Zepter,Operations,"$134,203",TRUE,Junior college,Ecology,TRUE,FALSE,47,TRUE,FALSE,"$38,250","$6,257",Domestic Fraternal Societies,"$1,070",Agricultural Programs,"$6,160","$1,931","$2,630",$537,"$6,469","$6,082","$3,866","$3,248"
120-25-1134,Sasha,Norburn,Female,3-741-708-8014,Sasha_Norburn8576@bretoux.com,Georgia,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Apple Inc.,Human Resources,"$97,196",Unknown,University-preparatory school,French,TRUE,TRUE,52,TRUE,FALSE,"$38,469","$3,135",Voluntary Employees Beneficiary Associations (Non-Government),$655,Adult Education,"$7,446","$2,273","$2,732","$1,352","$3,114","$7,380","$4,433","$5,949"
120-25-2455,Miriam,Durrant,Female,3-184-284-5415,Miriam_Durrant3887@guentu.biz,Mississippi,TRUE,FALSE,TRUE,TRUE,FALSE,Unknown,DynCorp,Sales,"$119,984",Unknown,Gymnasium,Basic Math,FALSE,FALSE,33,Unknown,FALSE,"$25,556","$1,489",Voluntary Employees Beneficiary Associations Government),$534,Adult Day Care,"$3,825","$1,929","$9,707",$777,"$5,363","$1,074",$400,$458
120-26-3778,Marissa,Ranks,Female,8-851-222-3040,Marissa_Ranks1334@tonsy.org,Michigan,FALSE,TRUE,TRUE,FALSE,Unknown,Unknown,Global Print,Accounting,"$75,568",Unknown,Public university,Geography,Unknown,Unknown,71,Unknown,Unknown,"$22,735","$1,855",Cemeteries,"$1,202",Adult & Child Matching Programs,$0,"$4,083",$0,"$9,102",$0,$0,"$6,493",$0
120-27-0461,Carter,Swift,Male,7-157-761-4736,Carter_Swift7218@deons.tech,Maryland,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Accounting,Unknown,Unknown,Public university,Accounting,Unknown,Unknown,Unknown,Unknown,Unknown,"$2,465",$0,Mutual & Membership Benefit N.E.C.,$0,Adoption,$0,$0,$0,"$2,465",$0,$0,$0,$0
120-27-2740,William,Lewis,Male,2-564-264-0005,William_Lewis8939@liret.org,Utah,TRUE,TRUE,Unknown,TRUE,Unknown,Unknown,Telekom,Management,Unknown,Unknown,Middle school,Music,Unknown,Unknown,55,Unknown,Unknown,"$8,849","$3,287",Unknown,$0,Administration of Justice,$0,"$2,280",$0,"$1,341",$0,$0,"$1,941",$0
